method,targets,total,mean,median,sd,ci95_lo,ci95_hi,r0,r1,r2,r3,r4p,r5p,r6,expected,dev_mean,conf_mean,p_full,p_dev,p_conf,p_full_holm
top6:ewma_0.9,129,140,1.0852713178294573,1.0,0.9016565289088916,0.9296739134472964,1.2408687222116181,0.29457364341085274,0.3875968992248062,0.26356589147286824,0.046511627906976744,0.007751937984496124,0.0,0.0,0.9473684210526315,1.09375,1.0769230769230769,0.034863472799424075,0.09241391841653701,0.11927302371040643,0.7669964015873296
diversity_bands:ensemble,129,132,1.0232558139534884,1.0,0.8428478165484354,0.8778069336544584,1.1687046942525186,0.29457364341085274,0.43410852713178294,0.2248062015503876,0.046511627906976744,0.0,0.0,0.0,0.9473684210526315,1.015625,1.0307692307692307,0.16228876958198868,0.27748394185609493,0.22947737962525247,1.0
top6:freq_w40,129,130,1.0077519379844961,1.0,0.8338176886972931,0.8638613721986179,1.1516425037703744,0.3023255813953488,0.4263565891472868,0.23255813953488372,0.03875968992248062,0.0,0.0,0.0,0.9473684210526315,0.984375,1.0307692307692307,0.21880743700278643,0.3849340626347026,0.22947737962525247,1.0
top6:freq_w10,129,130,1.0077519379844961,1.0,0.7954570623135456,0.8704812032589085,1.1450226727100836,0.2868217054263566,0.4418604651162791,0.24806201550387597,0.023255813953488372,0.0,0.0,0.0,0.9473684210526315,1.09375,0.9230769230769231,0.21880743700278643,0.09241391841653701,0.6176186273501743,1.0
top6:ensemble_eq,129,130,1.0077519379844961,1.0,0.8704894818344998,0.8575329803517869,1.1579708956172052,0.31007751937984496,0.4263565891472868,0.21705426356589147,0.03875968992248062,0.007751937984496124,0.0,0.0,0.9473684210526315,0.9375,1.0769230769230769,0.21880743700278643,0.5628438024638109,0.11927302371040643,1.0
top6:freq_all,129,129,1.0,1.0,0.8838834764831844,0.8474696624406508,1.1525303375593492,0.32558139534883723,0.40310077519379844,0.2248062015503876,0.03875968992248062,0.007751937984496124,0.0,0.0,0.9473684210526315,1.046875,0.9538461538461539,0.25094326669170786,0.18778988001142005,0.49978670735893116,1.0
struct_opt_top12:ensemble,129,129,1.0,1.0,0.82915619758885,0.8569138601720883,1.1430861398279117,0.3023255813953488,0.43410852713178294,0.2248062015503876,0.03875968992248062,0.0,0.0,0.0,0.9473684210526315,1.03125,0.9692307692307692,0.25094326669170786,0.23012013736185613,0.4405445243997921,1.0
pair_opt_top12:ensemble,129,129,1.0,1.0,0.8569568250501305,0.852116350993726,1.147883649006274,0.29457364341085274,0.4728682170542636,0.17829457364341086,0.046511627906976744,0.007751937984496124,0.0,0.0,0.9473684210526315,1.046875,0.9538461538461539,0.25094326669170786,0.18778988001142005,0.49978670735893116,1.0
consensus_votes,129,128,0.9922480620155039,1.0,0.8338176886972931,0.8483574962296256,1.136138627801382,0.3178294573643411,0.40310077519379844,0.24806201550387597,0.031007751937984496,0.0,0.0,0.0,0.9473684210526315,0.96875,1.0153846153846153,0.2854795582187839,0.4432015166111093,0.27639464212975756,1.0
top6:freq_w20,129,128,0.9922480620155039,1.0,0.9227686264630457,0.833007377209849,1.1514887468211588,0.3798449612403101,0.2868217054263566,0.3023255813953488,0.023255813953488372,0.007751937984496124,0.0,0.0,0.9473684210526315,0.9375,1.0461538461538462,0.2854795582187839,0.5628438024638109,0.18752232330271518,1.0
random_ticket,129,127,0.9844961240310077,1.0,0.7904161890662313,0.8480952846235972,1.1208969634384183,0.27906976744186046,0.49612403100775193,0.18604651162790697,0.03875968992248062,0.0,0.0,0.0,0.9473684210526315,0.953125,1.0153846153846153,0.32219468501948334,0.5029449713490568,0.27639464212975756,1.0
struct_opt_top8:ensemble,129,127,0.9844961240310077,1.0,0.8002391842055626,0.8464001462888389,1.1225921017731766,0.3023255813953488,0.43410852713178294,0.24031007751937986,0.023255813953488372,0.0,0.0,0.0,0.9473684210526315,1.015625,0.9538461538461539,0.32219468501948334,0.27748394185609493,0.49978670735893116,1.0
pair_opt_top10:ensemble,129,127,0.9844961240310077,1.0,0.8568154713460678,0.8366368682041172,1.1323553798578982,0.3023255813953488,0.46511627906976744,0.1937984496124031,0.023255813953488372,0.015503875968992248,0.0,0.0,0.9473684210526315,0.984375,0.9846153846153847,0.32219468501948334,0.3849340626347026,0.3828106722276104,1.0
struct_opt_top10:ensemble,129,127,0.9844961240310077,1.0,0.8383810302827613,0.8398180697911088,1.1291741782709066,0.32558139534883723,0.3953488372093023,0.24806201550387597,0.031007751937984496,0.0,0.0,0.0,0.9473684210526315,1.0625,0.9076923076923077,0.32219468501948334,0.1507551634956621,0.6736347522836336,1.0
top6:pair_last,129,126,0.9767441860465116,1.0,0.7951524645377547,0.839526015264925,1.1139623568280983,0.29457364341085274,0.46511627906976744,0.20930232558139536,0.031007751937984496,0.0,0.0,0.0,0.9473684210526315,0.90625,1.0461538461538462,0.3608023036684453,0.6777899814664177,0.18752232330271518,1.0
top6:overdue_gap,129,121,0.937984496124031,1.0,0.8455022359566838,0.7920775469741439,1.0838914452739181,0.3333333333333333,0.4496124031007752,0.16279069767441862,0.05426356589147287,0.0,0.0,0.0,0.9473684210526315,0.9375,0.9384615384615385,0.5686093250402683,0.5628438024638109,0.5592500141466186,1.0
struct_opt_top15:ensemble,129,121,0.937984496124031,1.0,0.8268155967371152,0.7953022699878055,1.0806667222602564,0.34108527131782945,0.4108527131782946,0.21705426356589147,0.031007751937984496,0.0,0.0,0.0,0.9473684210526315,1.0,0.8769230769230769,0.5686093250402683,0.3293525496601368,0.7743458103799802,1.0
top6:recent_hot,129,120,0.9302325581395349,1.0,0.7924058156930615,0.7934883720930233,1.0669767441860465,0.32558139534883723,0.4418604651162791,0.20930232558139536,0.023255813953488372,0.0,0.0,0.0,0.9473684210526315,0.84375,1.0153846153846153,0.6099755772740991,0.8589479263098476,0.27639464212975756,1.0
top6:repeat_last,129,120,0.9302325581395349,1.0,0.7924058156930615,0.7934883720930233,1.0669767441860465,0.32558139534883723,0.4418604651162791,0.20930232558139536,0.023255813953488372,0.0,0.0,0.0,0.9473684210526315,0.84375,1.0153846153846153,0.6099755772740991,0.8589479263098476,0.27639464212975756,1.0
top6:trend_20v20,129,119,0.9224806201550387,1.0,0.8625217669425,0.7736366381547386,1.0713246021553389,0.35658914728682173,0.4186046511627907,0.17054263565891473,0.05426356589147287,0.0,0.0,0.0,0.9473684210526315,0.859375,0.9846153846153847,0.6502066812280674,0.8215066689123349,0.3828106722276104,1.0
top6:cold_all,129,114,0.8837209302325582,1.0,0.8064961540587952,0.7445451973538757,1.0228966631112406,0.3488372093023256,0.4496124031007752,0.17829457364341086,0.015503875968992248,0.007751937984496124,0.0,0.0,0.9473684210526315,0.90625,0.8615384615384616,0.8217669221724493,0.6777899814664177,0.8174762873047212,1.0
top6:random_control,129,104,0.8062015503875969,1.0,0.8298862815531279,0.6629894211544288,0.949413679620765,0.4108527131782946,0.4108527131782946,0.14728682170542637,0.023255813953488372,0.007751937984496124,0.0,0.0,0.9473684210526315,0.71875,0.8923076923076924,0.9778544506891013,0.990286280135768,0.7261804560032961,1.0
