draw,date,n1,n2,n3,n4,n5,n6,bonus,source,provenance,segment
2161,2025-01-01,1,14,18,21,24,36,32,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2162,2025-01-04,1,2,12,15,21,33,22,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2163,2025-01-08,3,24,30,32,35,37,21,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2164,2025-01-11,8,19,21,25,26,34,23,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2165,2025-01-15,2,3,6,7,19,31,34,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2166,2025-01-18,18,24,25,29,30,34,15,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2167,2025-01-22,2,5,10,15,22,28,11,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2168,2025-01-25,4,12,17,22,25,34,10,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2169,2025-01-29,10,18,25,27,35,38,13,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2170,2025-02-01,3,4,10,14,21,22,30,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2171,2025-02-05,8,9,13,15,18,33,6,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2172,2025-02-08,2,23,25,29,32,38,16,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2173,2025-02-12,1,11,19,30,33,34,3,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2174,2025-02-15,1,7,11,25,32,38,19,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2175,2025-02-19,1,7,18,32,33,36,15,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2176,2025-02-22,2,9,10,24,31,38,12,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2177,2025-02-26,3,7,13,20,26,38,25,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2178,2025-03-01,2,14,17,21,36,37,9,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2179,2025-03-05,5,10,11,12,18,20,27,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2180,2025-03-08,9,11,16,21,30,33,19,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2181,2025-03-12,17,21,24,31,34,37,38,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2182,2025-03-15,2,9,17,19,30,36,34,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2183,2025-03-19,6,11,19,25,34,36,33,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2184,2025-03-22,3,10,13,15,18,33,16,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2185,2025-03-26,7,11,17,22,24,26,36,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2186,2025-03-29,4,9,10,19,29,38,32,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2187,2025-04-02,2,6,9,15,19,26,10,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2188,2025-04-05,16,19,24,25,35,37,11,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2189,2025-04-09,1,5,11,20,25,30,18,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2190,2025-04-12,6,19,27,30,31,38,9,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2191,2025-04-16,11,14,20,22,28,37,1,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2192,2025-04-19,8,10,14,28,34,35,9,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2193,2025-04-23,20,21,22,23,27,28,10,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2194,2025-04-26,6,10,18,23,25,35,7,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2195,2025-04-30,7,14,21,33,35,37,25,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2196,2025-05-03,9,14,20,24,26,37,25,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2197,2025-05-07,11,14,22,32,35,36,10,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2198,2025-05-10,5,11,12,20,28,32,36,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2199,2025-05-14,3,4,11,15,20,26,7,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2200,2025-05-17,4,7,11,17,30,31,12,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2201,2025-05-21,1,2,4,12,15,24,33,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2202,2025-05-24,5,12,21,28,31,37,9,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2203,2025-05-28,10,12,26,27,29,32,1,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2204,2025-05-31,3,5,6,8,18,34,1,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2205,2025-06-04,1,4,11,17,18,28,3,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2206,2025-06-07,13,19,25,30,33,34,9,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2207,2025-06-11,5,8,22,23,24,32,16,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2208,2025-06-14,2,3,11,16,26,31,22,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2209,2025-06-18,8,15,19,22,24,27,17,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2210,2025-06-21,6,24,25,29,33,36,21,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2211,2025-06-25,6,8,15,18,25,33,17,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2212,2025-06-28,3,11,14,18,21,24,36,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2213,2025-07-02,3,4,14,27,30,33,10,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2214,2025-07-05,5,8,13,15,29,33,16,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2215,2025-07-09,1,4,17,19,29,37,38,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2216,2025-07-12,3,8,15,18,22,25,16,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2217,2025-07-16,4,18,25,28,30,33,37,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2218,2025-07-19,1,3,13,27,37,38,15,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
2219,2025-07-23,7,18,24,26,28,33,6,lotto_draw_history.xlsx,ORIGINAL WORKBOOK,0
