number,freq_all,freq_w10,freq_w20,freq_w40,ewma_0.9,cold_all,overdue_gap,recent_hot,trend_20v20,pair_last,repeat_last,ensemble_eq,random_control
1,9,2,5,6,3,31,38,1,7,1,2,2,31
2,13,6,4,21,6,26,27,11,2,36,10,10,34
3,26,29,16,28,16,14,31,10,12,21,37,18,19
4,4,3,1,14,2,33,34,2,1,10,6,1,10
5,38,32,35,38,37,1,7,32,17,5,12,28,37
6,16,11,10,9,10,23,33,4,21,6,5,5,11
7,25,4,6,22,5,13,28,13,4,33,21,15,13
8,1,9,19,11,13,38,22,18,30,25,8,16,7
9,31,8,13,2,9,9,25,17,31,34,22,31,8
10,12,15,7,1,7,29,30,8,15,18,24,9,36
11,23,37,33,36,38,15,2,37,24,23,30,33,17
12,15,23,15,25,17,24,15,24,6,26,25,13,38
13,8,1,2,4,1,30,35,3,3,24,3,3,18
14,19,38,18,10,27,20,5,34,32,9,28,23,35
15,14,10,9,16,15,25,19,19,13,19,13,12,30
16,35,31,38,24,36,4,1,38,38,37,15,38,14
17,24,17,30,31,20,16,24,14,27,14,29,22,1
18,2,5,24,18,8,37,29,9,28,2,33,4,27
19,30,22,22,26,21,8,17,22,11,29,18,26,9
20,17,30,28,33,28,21,20,20,18,12,20,20,32
21,33,21,36,35,32,6,14,23,25,27,34,36,29
22,20,14,8,19,14,18,12,26,8,28,9,17,20
23,34,16,20,8,11,5,37,6,29,11,1,24,28
24,6,7,3,5,4,32,21,16,5,38,35,8,26
25,7,27,21,17,18,34,26,12,23,4,14,6,5
26,27,26,27,34,31,12,10,29,16,30,26,32,25
27,29,34,37,30,34,10,6,33,34,16,32,34,2
28,36,18,29,37,22,3,36,5,10,20,4,25,33
29,37,13,23,20,12,2,32,7,20,8,23,19,3
30,18,19,31,15,29,22,18,21,37,32,31,35,22
31,21,35,12,7,24,19,8,31,14,35,7,27,23
32,32,20,34,23,33,7,9,30,36,31,19,37,12
33,10,28,17,32,30,27,11,28,9,3,27,7,24
34,28,36,32,27,35,11,3,36,33,7,16,30,16
35,5,25,14,12,19,35,16,25,19,17,38,11,21
36,22,24,25,13,23,17,23,15,35,22,17,29,15
37,11,12,26,29,26,28,13,27,22,15,11,21,4
38,3,33,11,3,25,36,4,35,26,13,36,14,6
