position,candidate,eligible,numbers,generating_methods,S,R1_raw,R2_raw,R3_raw,R4_raw,R5_raw,R6_raw,R7_raw,R8_raw,R1_u,R2_u,R3_u,R4_u,R5_u,R6_u,R7_u,R8_u
1,C06,True,01 04 13 18 24 25,G_ensemble_equal|opt_top12,0.820833,0.733333,0.671139,0.481982,0.500000,0.828571,-0.000000,0.887500,0.921875,0.925000,0.675000,0.900000,0.625000,0.975000,0.800000,0.950000,0.700000
2,C09,True,01 04 10 13 18 24,consensus,0.775000,0.766667,0.963238,0.418919,0.000000,0.828571,-0.000000,0.912500,0.753125,1.000000,0.875000,0.750000,0.075000,0.975000,0.800000,1.000000,0.600000
3,C11,True,04 08 09 13 24 35,B_ew_40|opt_top12,0.725694,0.700000,1.104251,0.261261,0.714286,0.800000,-0.000000,0.762500,0.953125,0.775000,0.975000,0.200000,0.950000,0.600000,0.800000,0.800000,0.750000
4,C07,True,01 02 06 18 25 35,E_transition|opt_top12,0.703472,0.566667,1.104251,0.454955,0.500000,0.793103,-0.000000,0.737500,0.984375,0.475000,0.975000,0.800000,0.625000,0.475000,0.800000,0.750000,0.975000
5,C08,True,01 04 09 10 13 24,B_ew_10|opt_top12,0.699306,0.733333,0.671139,0.355856,0.754464,0.812500,-0.712225,0.637500,0.968750,0.925000,0.675000,0.400000,1.000000,0.700000,0.250000,0.625000,0.850000
6,C18,True,04 09 10 13 24 35,B_ew_20|opt_top12;G_ensemble_adaptive|opt_top12,0.688889,0.700000,0.746682,0.351351,0.593750,0.800000,-0.000000,0.787500,0.882812,0.775000,0.750000,0.325000,0.850000,0.600000,0.800000,0.850000,0.650000
7,C12,True,01 08 13 18 24 25,A_freq_all|opt_top12,0.659722,0.700000,0.238026,0.486486,0.468750,0.818182,-0.413091,0.675000,0.578125,0.775000,0.500000,0.975000,0.400000,0.825000,0.350000,0.700000,0.450000
8,C20,True,01 02 04 07 13 24,B_roll_10|opt_top12;B_roll_20|opt_top12;D_trend_20v40|opt_top12,0.620833,0.700000,0.483121,0.247748,0.633333,0.818182,-0.610139,0.850000,0.619792,0.775000,0.600000,0.150000,0.900000,0.825000,0.300000,0.900000,0.550000
9,C16,True,06 09 10 31 35 38,B_roll_50|opt_top12,0.601389,0.466667,0.822225,0.459459,0.500000,0.772727,-0.299135,0.412500,0.984375,0.350000,0.800000,0.850000,0.625000,0.350000,0.550000,0.500000,0.975000
10,C19,True,08 09 13 15 22 24,B_roll_30|opt_top12,0.554167,0.533333,0.389112,0.364865,0.571429,0.791667,-0.000000,0.637500,0.609375,0.400000,0.550000,0.525000,0.800000,0.400000,0.800000,0.625000,0.500000
11,C17,True,01 04 06 13 18 29,B_roll_10|pair_top12,0.452778,0.600000,-0.336100,0.486486,0.000000,0.800000,-2.343220,0.350000,0.000000,0.550000,0.350000,0.975000,0.075000,0.600000,0.000000,0.400000,0.025000
12,C13,False,01 21 26 31 34 36,H_random|top6,0.448611,0.233333,0.963238,0.387387,0.000000,0.692308,-0.000000,0.287500,0.968750,0.150000,0.875000,0.650000,0.075000,0.200000,0.800000,0.250000,0.850000
13,C15,True,01 04 13 18 28 29,C_recent|opt_top12,0.440972,0.566667,-0.769212,0.364865,0.500000,0.814815,-1.125316,0.275000,0.531250,0.475000,0.200000,0.525000,0.625000,0.750000,0.200000,0.200000,0.400000
14,C05,True,01 06 08 13 35 38,B_roll_100|opt_top12,0.412500,0.633333,-1.484351,0.373874,0.500000,0.793103,-1.630995,0.375000,0.000000,0.625000,0.000000,0.600000,0.625000,0.475000,0.100000,0.450000,0.025000
15,C01,True,03 04 13 18 24 29,D_slope_50|opt_top12,0.390278,0.633333,-1.051239,0.360360,0.250000,0.827586,-2.036964,0.325000,0.312500,0.625000,0.100000,0.450000,0.200000,0.900000,0.050000,0.350000,0.200000
16,C03,True,03 09 16 17 24 26,C_hazard|opt_top12,0.291667,0.400000,-0.336100,0.351351,0.281250,0.647059,-0.306257,0.200000,0.390625,0.300000,0.350000,0.325000,0.250000,0.150000,0.475000,0.050000,0.325000
17,C21,True,16 27 31 34 35 38,C_own_gap_pct|opt_top12,0.291667,0.266667,-0.336100,0.189189,0.437500,0.769231,-0.000000,0.312500,0.062500,0.200000,0.350000,0.100000,0.300000,0.300000,0.800000,0.300000,0.150000
18,C04,False,02 16 17 25 33 37,random_ticket,0.282639,0.366667,-1.343338,0.400901,0.000000,0.750000,-0.405968,0.225000,0.968750,0.250000,0.050000,0.700000,0.075000,0.250000,0.400000,0.100000,0.850000
19,C14,True,05 11 16 31 32 34,C_overdue|opt_top12,0.268750,0.133333,0.097013,0.175676,0.468750,0.571429,-0.000000,0.437500,0.390625,0.025000,0.450000,0.050000,0.400000,0.050000,0.800000,0.550000,0.325000
20,C02,True,05 16 23 28 29 32,A_inv_cold|opt_top12,0.186111,0.133333,-0.769212,0.081081,0.500000,0.400000,-0.306257,0.237500,0.328125,0.025000,0.200000,0.000000,0.625000,0.000000,0.475000,0.150000,0.250000
21,C10,True,11 14 18 21 25 34,E_pair_centrality|opt_top12,0.184722,0.200000,-0.769212,0.288288,0.468750,0.600000,-1.424450,0.175000,0.015625,0.100000,0.200000,0.250000,0.400000,0.100000,0.150000,0.000000,0.100000
